,ADDRESS,DATE,PRICE,SQFT,BEDS,BATH,PARK,UNIT#,Neighbourhood,Codes
7106,801 King St W,2019-07-01,525000,649,1.0,1,1.0,627,5,00000008016
1205,399 Adelaide St W,2019-07-01,753000,749,1.0,2,1.0,1011,1,00000003994
7077,21 Grand Magazine St W,2019-07-01,679800,749,1.0,1,1.0,2205,5,00000000217
8325,120 St Patrick St,2019-07-01,555100,649,1.0,1,0.0,1104,7,00000001203
9803,633 Bay St,2019-07-01,617000,849,1.0,1,0.0,1421,9,000000063311
5152,850 Richmond St W,2019-07-01,1800000,1899,3.0,3,1.0,18,5,00000008507
7951,36 Lisgar St,2019-07-01,445000,649,2.0,1,1.0,608,6,00000000368
7941,36 Lisgar St,2019-07-01,449000,649,2.0,1,1.0,523,6,00000000368
3811,101 Peter St,2019-07-01,555800,400,1.0,1,0.0,2610,1,00000001013
7100,915 King St W,2019-08-01,868000,749,1.0,1,1.0,106,5,00000009156
1245,151 Dan Leckie Way,2019-08-01,818000,849,2.0,2,1.0,1911,1,00000001517
7136,125 Western Battery Rd,2019-08-01,535000,400,1.0,1,0.0,312,5,00000001257
1281,111 Bathurst St,2019-08-01,1200000,849,2.0,2,1.0,606,1,00000001115
3992,560 King St W,2019-08-01,690000,649,1.0,1,1.0,430,1,00000005606
3897,88 Blue Jays Way,2019-08-01,475000,400,0.0,1,0.0,3410,1,00000000883
5847,50 Lynn Williams St,2019-08-01,681000,749,2.0,2,1.0,508,5,00000000507
1074,460 Queens Quay W,2019-08-01,1579000,1699,2.0,2,2.0,301,1,00000004601
1361,21 Nelson St,2019-09-01,980000,1099,1.0,2,2.0,9991,1,00000000217
9892,15 Grenville St,2019-09-01,606000,400,1.0,1,0.0,2308,9,00000000156
8542,180 University Ave,2019-09-01,2168000,1699,2.0,3,1.0,3705,9,00000001806
5887,80 Western Battery Rd,2019-09-01,730000,849,2.0,2,0.0,504,5,00000000807
5891,50 Western Battery Rd,2019-09-01,655000,849,1.0,2,1.0,925,5,00000000507
4081,350 Wellington St W,2019-09-01,541000,649,1.0,1,0.0,206,1,00000003505
7723,68 Abell St,2019-10-01,668000,649,2.0,2,1.0,99905,6,00000000688
4194,21 Nelson St,2019-10-01,533000,400,1.0,1,0.0,318,1,00000000217
7241,21 Grand Magazine St,2019-10-01,648000,749,1.0,1,1.0,818,5,00000000217
5959,100 Strachan Ave,2019-10-01,680000,949,2.0,2,1.0,603,5,00000001004
5950,38 Stadium Rd,2019-10-01,950000,1499,2.0,2,1.0,637,5,00000000386
4254,525 Adelaide St W,2019-10-01,595200,549,1.0,1,0.0,1524,1,00000005254
4275,600 Queens Quay W,2019-10-01,615000,649,1.0,1,1.0,1029,1,00000006001
4236,14 York St,2019-10-01,593000,549,1.0,1,0.0,3809,1,000000001411
7203,5 Hanna Ave,2019-10-01,438000,400,0.0,1,0.0,205,5,00000000056
